,us equity,eu equity,em equity,us gov,eu gov,us corp,eu corp,us real,eu real,comm
05/08/2005,24.06808955,30.49585793,15.08708768,141.2322111,121.706,112.6317,105.4778816,15.07319358,24.1103323,26.37485142
08/08/2005,24.02302743,30.59593384,15.0909459,141.102255,121.644,112.1467,105.53981,14.52993282,24.19626388,26.46813216
09/08/2005,24.16796851,30.98713965,15.12173884,141.2821942,121.862,112.0022,105.5260481,14.5978312,24.11822556,26.18672916
10/08/2005,24.15623176,31.34195423,15.26340095,141.3021874,121.966,112.1673,105.6223813,14.73869206,24.44217478,26.68003366
11/08/2005,24.25220495,31.13270461,15.28902534,141.7320419,121.966,112.0642,105.6843097,14.93486477,24.2769859,26.96924065
12/08/2005,24.10333866,31.07811775,15.23610224,142.2818559,122.403,112.6111,105.9251425,14.92230283,24.19138226,27.02175697
15/08/2005,24.25220495,31.02353089,15.2284586,142.12191,122.601,112.931,106.090285,15.06313911,24.07509906,26.77166178
16/08/2005,23.93684782,30.80518346,15.15398772,142.4717916,122.518,113.2508,106.2967131,15.151171,24.07843458,26.88963987
17/08/2005,23.93488521,30.69600974,15.10623317,142.1718931,122.955,113.354,106.2967131,15.03044366,23.89737781,26.41598309
18/08/2005,23.93294204,30.58683603,14.9192916,142.5717578,123.152,113.0857,106.4756174,14.92984983,23.66367217,26.17699712
19/08/2005,23.98777831,30.88706374,14.8218898,142.6017477,123.184,113.3128,106.4824984,14.87702086,23.69532578,26.46592867
22/08/2005,23.98777831,30.98713965,15.02695772,142.6417341,123.163,113.2302,106.5444268,14.92230283,23.85921348,26.78020027
23/08/2005,23.94273562,30.74149879,14.95852895,142.8416665,123.381,113.3747,106.6132362,14.98516169,23.81470281,26.8030614
24/08/2005,23.72923949,30.65052069,14.82720395,142.8716563,123.371,113.6223,106.5994743,15.03799065,23.79012791,26.99632512
25/08/2005,23.8154191,30.41397764,14.85799689,143.0316022,123.537,113.6946,106.7233312,15.05559212,23.77906026,26.84566205
26/08/2005,23.65285346,30.03186964,14.84176326,142.8116766,123.704,113.8184,106.6889265,14.86947387,23.87980187,26.77845585
29/08/2005,23.83500625,30.16833678,14.71349572,142.9616259,123.673,113.8184,106.6889265,14.87198134,23.78695271,27.47374618
30/08/2005,23.70965233,30.15014116,14.74123121,143.5714196,123.433,113.8597,106.7302121,14.91726331,23.66928696,28.05408822
31/08/2005,24.00932807,30.38668421,14.88376688,144.1412267,123.849,114.4,106.9435211,15.17631946,23.99836192,27.838147
01/09/2005,23.99170352,30.61412946,15.14670806,144.2711828,123.891,114.514,107.1843539,15.31214079,24.51012274,28.36725807
02/09/2005,23.948604,30.50495574,15.32498685,144.1812132,124.453,114.6073,107.2187586,15.27189835,24.87345607,28.03232883
05/09/2005,23.948604,30.74149879,15.34900971,144.1812132,124.515,114.6591,107.3082108,15.27189835,24.8666223,28.03232883
06/09/2005,24.22869258,31.10541118,15.38926621,143.8713181,124.193,114.5451,107.1705921,15.59887745,24.80192847,27.97145765
07/09/2005,24.2698295,31.17819365,15.43447288,143.4514601,124.182,114.1823,107.0880208,15.56615742,24.88639532,27.50468674
08/09/2005,24.18951827,31.15090022,15.47028879,143.4414635,124.411,114.0683,107.2118777,15.46556359,24.80323208,27.59209152
